OBJECTID,id,nombre,CATEGORIA,TECNOLOGIA,ESTADO,FECHA_INST,altitud,latitud,longitud,DEPARTAMEN,MUNICIPIO,AREA_OPERA,AREA_HIDRO,ZONA_HIDRO,observacio,CORRIENTE,FECHA_SUSP,SUBZONA_HI,ENTIDAD,COMID
1.00000000000,52057100.00000000000,RUMICHACA - AUT [52057100],Limnigráfica,Automática con Telemetría,Activa,2016/11/15,2582.00000000000,0.81378611000,-77.66197778000,Nariño,Ipiales,Area Operativa 07 - Nariño-Putumayo,Pacifico,Patía,,Guaitara,,Río Guáitara,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,"9021085"
9.00000000000,44037040.00000000000,EL ROSARIO - AUT [44037040],Limnigráfica,Automática con Telemetría,Activa,1964/08/15,600.00000000000,1.72525000000,-75.66638889000,Caquetá,Florencia (Caquetá),Area Operativa 04 - Huila-Caquetá,Amazonas,Caquetá,,CarañO,,Río Orteguaza,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,"9018513"
10.00000000000,52077020.00000000000,LOS NORTES - AUT [52077020],Limnigráfica,Automática con Telemetría,Activa,1984/09/15,340.00000000000,1.74111111000,-77.53111111000,Nariño,Cumbitara,Area Operativa 07 - Nariño-Putumayo,Pacifico,Patía,,Patia,,Río Patia Medio,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,"9018597"
11.00000000000,51039010.00000000000,TUMACO - AUT [51039010],Mareográfica,Automática con Telemetría,Activa,1951/09/15,0.00000000000,1.81930556000,-78.73027778000,Nariño,Tumaco,Area Operativa 07 - Nariño-Putumayo,Pacifico,Mira,,Pacifico,,Río Rosario,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,
12.00000000000,21017050.00000000000,PITALITO 2 - AUT [21017050],Limnigráfica,Automática con Telemetría,Activa,1972/05/15,1250.00000000000,1.84883333000,-76.05244444000,Huila,Pitalito,Area Operativa 04 - Huila-Caquetá,Magdalena Cauca,Alto Magdalena,,Guarapas,,Alto Magdalena,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,"9018571"
16.00000000000,52077010.00000000000,PUENTE PUSMEO - AUT [52077010],Limnigráfica,Automática con Telemetría,Activa,1965/09/15,380.00000000000,1.62405556000,-77.47891667000,Nariño,Cumbitara,Area Operativa 07 - Nariño-Putumayo,Pacifico,Patía,,Patia,,Río Patia Medio,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,"9018858"
17.00000000000,51027060.00000000000,SAN JUAN MIRA - AUT [51027060],Limnigráfica,Automática con Telemetría,Activa,1980/12/15,2.00000000000,1.42388889000,-78.67027778000,Nariño,Tumaco,Area Operativa 07 - Nariño-Putumayo,Pacifico,Mira,,Mira,,Río Mira,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,"9019391"
39.00000000000,21097070.00000000000,PUENTE SANTANDER [21097070],Limnigráfica,Automática con Telemetría,Activa,1960/09/15,431.00000000000,2.94261111000,-75.30852778000,Huila,Neiva,Area Operativa 04 - Huila-Caquetá,Magdalena Cauca,Alto Magdalena,,Magdalena,,Rio Fortalecillas y otros,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,"9015168"
43.00000000000,21117100.00000000000,PUEBLO NUEVO - AUT [21117100],Limnigráfica,Automática con Telemetría,Activa,1983/06/15,1280.00000000000,2.82744444000,-75.08883333000,Huila,Neiva,Area Operativa 04 - Huila-Caquetá,Magdalena Cauca,Alto Magdalena,,Ceibas,,Rio Fortalecillas y otros,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,"9015505"
63.00000000000,48017010.00000000000,LETICIA [48017010],Limnigráfica,Convencional,Activa,1986/05/15,120.00000000000,-4.22252778000,-69.94272222000,Amazonas,Leticia,Area Operativa 11 - Cundinamarca-Amazonas-San Andrés,Amazonas,Amazonas - Directos,,Amazonas,,Directos Río Amazonas (mi),INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,"9039635"
78.00000000000,54077210.00000000000,JUANCHACO - AUT [54077210],Mareográfica,Automática con Telemetría,Activa,2005/06/23,18.00000000000,3.92514722000,-77.34900556000,Valle del Cauca,Buenaventura,Area Operativa 09 - Cauca-Valle-Caldas,Pacifico,San Juán,,Oceano Pacifico,,Ríos Calima y  Bajo San Juan,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,
83.00000000000,35017020.00000000000,PUENTE LLERAS - AUT [35017020],Limnigráfica,Automática con Telemetría,Activa,1972/03/15,177.00000000000,4.10301944000,-72.93638333000,Meta,Puerto López,Area Operativa 03 - Meta-Guaviare-Guainía,Orinoco,Meta,,Meta,,Directos Rio Metica entre ríos Guayuriba y Yucao,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,"9012220"
84.00000000000,21167080.00000000000,LA MORA - AUT [21167080],Limnigráfica,Automática con Telemetría,Activa,1990/10/15,464.00000000000,3.72519444000,-74.82644444000,Tolima,Prado,Area Operativa 10 - Tolima,Magdalena Cauca,Alto Magdalena,,Negro,,Río Prado,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,"9013257"
86.00000000000,21137010.00000000000,PURIFICACION - AUT [21137010],Limnigráfica,Automática con Telemetría,Activa,1959/11/15,306.00000000000,3.84952778000,-74.93577778000,Tolima,Purificación,Area Operativa 10 - Tolima,Magdalena Cauca,Alto Magdalena,,Magdalena,,"Río Aipe, Río Chenche y otros directos al Magdalena",INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,"9012910"
87.00000000000,21137050.00000000000,RIO ANGOSTURA  - AUT [21137050],Limnigráfica,Automática con Telemetría,Activa,1975/01/14,345.00000000000,3.44319444000,-75.11880556000,Tolima,Natagaima,Area Operativa 04 - Huila-Caquetá,Magdalena Cauca,Alto Magdalena,Cambio de tecnología por instalación o repotenciación de estaciones proyecto Fondo de Adaptación,Magdalena,,"Río Aipe, Río Chenche y otros directos al Magdalena",INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,"9013878"
91.00000000000,21217180.00000000000,MONTEZUMA [21217180],Limnigráfica,Automática con Telemetría,Activa,1973/12/15,1450.00000000000,4.48205556000,-75.28605556000,Tolima,Ibagué,Area Operativa 10 - Tolima,Magdalena Cauca,Alto Magdalena,,Combeima,,Río Coello,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,"9011626"
95.00000000000,21237010.00000000000,NARINO - AUT [21237010],Limnigráfica,Convencional,Activa,1977/08/15,277.00000000000,4.38777778000,-74.83837500000,Cundinamarca,Nariño (Cundinamarca),Area Operativa 10 - Tolima,Magdalena Cauca,Alto Magdalena,,Magdalena,,Río Opía,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,"9011707"
98.00000000000,22057010.00000000000,PIEDRAS DE COBRE  - AUT [22057010],Limnigráfica,Automática con Telemetría,Activa,1959/09/14,3452.00000000000,3.90838889000,-75.10327778000,Tolima,Saldaña,Area Operativa 10 - Tolima,Magdalena Cauca,Saldaña,Cambio de tecnología por instalación o repotenciación de estaciones proyecto Fondo de Adaptación,Saldana,,Bajo Saldaña,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,"9012650"
99.00000000000,53119010.00000000000,BUENAVENTURA IDEAM  - AUT [53119010],Mareográfica,Automática con Telemetría,Activa,1941/05/14,40.00000000000,3.89017500000,-77.06190833000,Valle del Cauca,Buenaventura,Area Operativa 09 - Cauca-Valle-Caldas,Pacifico,Tapaje - Dagua - Directos,Cambio de tecnología por instalación o repotenciación de estaciones proyecto Fondo de Adaptación,Pacifico,,Dagua - Buenaventura - Bahia Málaga,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,
103.00000000000,26127010.00000000000,EL ALAMBRADO [26127010],Limnigráfica,Automática con Telemetría,Activa,1953/01/15,151.00000000000,4.41025000000,-75.87538889000,Valle del Cauca,Caicedonia,Area Operativa 09 - Cauca-Valle-Caldas,Magdalena Cauca,Cauca,,La Vieja,,Río La Vieja,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,"9011402"
105.00000000000,26127040.00000000000,CARTAGO [26127040],Limnigráfica,Automática con Telemetría,Activa,1945/01/15,937.00000000000,4.75761111000,-75.89925000000,RIsaralda,Pereira,Area Operativa 09 - Cauca-Valle-Caldas,Magdalena Cauca,Cauca,,La Vieja,,Río La Vieja,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,"9010517"
110.00000000000,26137220.00000000000,EL RETEN - AUT [26137220],Limnigráfica,Automática con Telemetría,Activa,1993/11/15,188.00000000000,4.72819444000,-75.60344444000,RIsaralda,Santa Rosa De Cabal,Area Operativa 09 - Cauca-Valle-Caldas,Magdalena Cauca,Cauca,,Otun,,Río La Vieja,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,"9010522"
122.00000000000,26177030.00000000000,LA VIRGINIA - AUT [26177030],Limnigráfica,Automática con Telemetría,Activa,1946/10/15,922.00000000000,4.89250000000,-75.88269444000,RIsaralda,La Virginia,Area Operativa 09 - Cauca-Valle-Caldas,Magdalena Cauca,Cauca,,Cauca,,Río Otún y otros directos al Cauca,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,"9010239"
128.00000000000,21209920.00000000000,SANTA ROSITA - AUT [21209920],Limnigráfica,Automática con Telemetría,Activa,2005/05/19,2618.00000000000,5.19225000000,-73.77905556000,Cundinamarca,Suesca,Area Operativa 11 - Cundinamarca-Amazonas-San Andrés,Magdalena Cauca,Alto Magdalena,,Bogota,,Río Bogotá,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,"9010062"
132.00000000000,35237030.00000000000,TRINIDAD PAUTO - AUT [35237030],Limnigráfica,Automática con Telemetría,Activa,2016/12/15,178.00000000000,5.41438889000,-71.66836111000,Casanare,Trinidad,Area Operativa 06 - Boyacá-Casanare-Vichada,Orinoco,Meta,,Bogota,,Río Pauto,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,"9009384"
